episode,global_step,rm_ready,rm_version,num_preferences,preference_sources,final_connected,final_num_components,final_largest_component_size,final_edge_count,final_inter_component_gap,final_coverage_score,final_overlap_ratio,became_connected,first_connected_step,lost_connectivity_events,actor_loss,critic_1_loss,critic_2_loss,mean_rm_reward,rm_loss,rm_pair_accuracy
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
1,6000,1,1,8,"{""heuristic_fallback"": 8}",0,2,7,10,1160.6486890464907,0.9205985259796263,0.07940147402037363,0,-1,0,-3.7514350414276123,0.3225262761116028,0.3108966648578644,0.08040197193622589,0.6789985863367717,0.875
2,9000,1,1,8,"{""heuristic_fallback"": 8}",0,2,7,16,563.7843363056281,0.8181659535688144,0.1818340464311856,0,-1,0,-8.821056365966797,0.004765545018017292,0.003949470352381468,0.1759568452835083,0.6789985863367717,0.875
3,12000,1,2,16,"{""heuristic_fallback"": 16}",0,2,7,17,353.30037657762387,0.7148746821089091,0.2851253178910908,0,-1,0,-12.78738784790039,0.0028498987667262554,0.002313386183232069,-0.02768561989068985,0.6578421012560527,0.8125
4,15000,1,3,24,"{""heuristic_fallback"": 24}",0,2,7,21,278.1701274567122,0.7097367832486376,0.2902632167513623,0,-1,0,-15.336515426635742,0.08424859493970871,0.04158507660031319,0.08266954123973846,0.6282621335983276,0.75
5,18000,1,3,24,"{""heuristic_fallback"": 24}",0,2,6,16,505.6889372449368,0.8388440806868203,0.1611559193131797,1,1519,3,-18.121841430664062,0.0067008016631007195,0.005943521857261658,0.01356988213956356,0.6282621335983276,0.75
6,21000,1,4,32,"{""heuristic_fallback"": 32}",0,2,7,18,168.57297594100237,0.811401370083185,0.18859862991681495,1,1127,12,-20.145009994506836,0.01752939261496067,0.005683875177055597,-0.012732133269309998,0.5965210405985514,0.78125
7,24000,1,4,32,"{""heuristic_fallback"": 32}",1,1,8,18,0.0,0.795739088146109,0.2042609118538909,1,1944,0,-23.250885009765625,0.008462052792310715,0.0062678116373717785,0.02555594965815544,0.5965210405985514,0.78125
8,27000,1,5,40,"{""heuristic_fallback"": 40}",0,2,6,16,30.76518589407806,0.7758340951848269,0.22416590481517307,0,-1,0,-24.853229522705078,0.07039773464202881,0.0550675131380558,-0.09091590344905853,0.569674817721049,0.75
9,30000,1,6,48,"{""heuristic_fallback"": 48}",0,2,6,16,212.00884098565393,0.7909721788948566,0.20902782110514342,1,294,1,-26.56682586669922,0.1396791785955429,0.13987894356250763,-0.22255033254623413,0.5510962339242299,0.6888888888888889
10,33000,1,6,48,"{""heuristic_fallback"": 48}",0,2,6,16,370.07424902678804,0.7927053868775844,0.2072946131224156,1,364,1,-28.98599624633789,0.03556513413786888,0.045217856764793396,-0.02258654125034809,0.5510962339242299,0.6888888888888889
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
1,6000,1,1,8,"{""openai"": 8}",0,2,7,11,1141.134179886406,0.8815748855347938,0.11842511446520616,0,-1,0,-3.736464262008667,0.31185460090637207,0.31463778018951416,0.08292533457279205,0.6788643153508505,0.875
2,9000,1,1,8,"{""openai"": 8}",1,1,8,22,0.0,0.7934183301433235,0.20658166985667645,1,2963,0,-8.85318374633789,0.004123731050640345,0.004250106867402792,0.19651150703430176,0.6788643153508505,0.875
3,12000,1,2,16,"{""openai"": 16}",0,2,7,15,222.10689972965883,0.8140701401020023,0.1859298598979977,0,-1,0,-13.462790489196777,0.013342281803488731,0.012521903961896896,0.05599020794034004,0.6670336858431498,0.9375
4,15000,1,3,24,"{""openai"": 24}",0,3,5,11,639.8736464935896,0.8458468027195768,0.1541531972804232,0,-1,0,-18.105276107788086,0.06712046265602112,0.09840226918458939,0.0702776163816452,0.653466993967692,0.875
5,18000,1,3,24,"{""openai"": 24}",0,3,5,11,905.6892328498384,0.8803266186024252,0.11967338139757477,0,-1,0,-23.041872024536133,0.006766053847968578,0.006232202053070068,0.11733575165271759,0.653466993967692,0.875
6,21000,1,4,32,"{""openai"": 32}",0,3,5,11,885.0593397392822,0.885552496685308,0.11444750331469199,0,-1,0,-26.71918296813965,0.008249574340879917,0.00796336680650711,-0.07283616065979004,0.6193697492281596,0.7333333333333333
7,24000,1,4,32,"{""openai"": 32}",0,3,5,11,990.9989355218172,0.8853874806571674,0.11461251934283256,0,-1,0,-31.151025772094727,0.018558720126748085,0.023121699690818787,0.20155414938926697,0.6193697492281596,0.7333333333333333
